Destination Airport,Lat,Long,name
OCA,25.33,-80.27,Ocean Reef Club Airport
PQS,61.93,-162.90,Pilot Station Airport
CSE,38.85,-106.93,Crested Butte Airpark
JCY,30.25,-98.62,LBJ Ranch Airport
PMX,42.22,-72.31,Metropolitan Airport
WLR,55.60,-131.64,Loring Seaplane Base
NUP,60.91,-162.44,Nunapitchuk Airport
PTC,55.80,-133.60,Port Alice Seaplane Base
ICY,59.97,-141.66,Icy Bay Airport
PPV,56.33,-133.61,Port Protection Seaplane Base
KKK,64.42,-156.82,Kalakaket Creek AS Airport
MHS,41.26,-122.27,Dunsmuir Muni-Mott Airport
NIR,28.36,-97.66,Chase Field Industrial Airport
GCT,36.26,-113.23,Grand Canyon Bar Ten Airstrip
ELW,60.89,-146.70,Ellamar Seaplane Base
LVD,61.36,-155.44,Lime Village Airport
HGZ,66.22,-155.67,Hog River Airport
OTN,38.85,-87.50,Ed-Air Airport
TLF,63.39,-153.27,Telida Airport
BZT,28.98,-95.58,Eagle Air Park
HBH,57.41,-133.44,Entrance Island Seaplane Base
FAK,57.53,-135.21,False Island Seaplane Base
BYW,48.58,-122.83,Blakely Island Airport
DRF,60.59,-152.16,Drift River Airport
BDF,41.23,-89.62,Rinkenberger Restricted Landing Area
VRS,38.43,-92.88,Roy Otten Memorial Airfield
GDH,59.75,-158.88,Golden Horn Lodge Seaplane Base
ATT,60.87,-162.27,Atmautluak Airport
LIV,65.47,-148.65,Livengood Camp Airport
PDB,59.79,-154.12,Pedro Bay Airport
KOZ,57.93,-152.50,Ouzinkie Airport
TNK,60.58,-165.27,Tununak Airport
EVA,30.32,-94.07,Ben Bruce Memorial Airpark
WHD,55.90,-130.01,Hyder Seaplane Base
MNT,65.14,-149.37,Minto Al Wright Airport
TKI,55.94,-133.33,Tokeen Seaplane Base
WKK,59.28,-158.62,Aleknagik / New Airport
WFB,55.35,-131.68,Ketchikan Harbor Seaplane Base
NNK,58.73,-157.02,Naknek Airport
BKF,58.55,-155.78,Lake Brooks Seaplane Base
BCS,29.87,-90.02,Southern Seaplane Airport
SPQ,33.75,-118.28,Catalina Air-Sea Terminal Heliport
TSS,40.74,-73.97,East 34th Street Heliport
QNY,40.73,-73.97,New York Skyports Inc Seaplane Base
BWL,36.80,-97.32,Earl Henry Airport
WYB,55.92,-131.80,Yes Bay Lodge Seaplane Base
CWS,48.49,-122.83,Center Island Airport
TEK,60.87,-146.69,Tatitlek Airport
DUF,36.25,-75.79,Pine Island Airport
SSW,48.67,-123.18,Stuart Island Airpark
FOB,39.47,-123.80,Fort Bragg Airport
PUL,47.73,-122.65,Port of Poulsbo Marina Moorage Seaplane Base
CCD,34.06,-118.42,Century City Heliport
WMK,55.74,-132.26,Meyers Chuck Seaplane Base
AXB,44.31,-75.90,Maxson Airfield
REE,33.59,-102.04,Reese Airpark
WDN,48.71,-123.02,Waldron Airstrip
WWP,56.12,-133.12,Whale Pass Seaplane Float Harbor Facility
CHU,61.58,-159.22,Chuathbaluk Airport
UGS,57.53,-157.40,Ugashik Airport
MXG,42.34,-71.51,Marlboro Airport
PSQ,39.86,-75.30,Philadelphia Seaplane Base
KLL,59.13,-156.86,Levelock Airport
SGW,56.89,-134.16,Saginaw Seaplane Base
WTL,60.34,-162.67,Tuntutuliak Airport
TWA,59.08,-160.27,Twin Hills Airport
KCQ,56.26,-158.77,Chignik Lake Airport
AHT,51.38,179.26,Amchitka Army Airfield
CEX,65.05,-146.05,Chena Hot Springs Airport
SOL,64.56,-164.45,Solomon State Field
HED,55.80,-160.90,Herendeen Bay Airport
TWE,65.68,-164.80,Taylor Airport
KTH,59.96,-158.48,Tikchik Lodge Seaplane Base
NKI,55.85,-133.23,Naukati Bay Seaplane Base
LNI,70.91,-153.24,Lonely Air Station
CDL,65.91,-161.93,Candle 2 Airport
AOS,57.47,-153.82,Amook Bay Seaplane Base
BSZ,58.22,-157.35,Bartletts Airport
BSW,60.42,-146.15,Boswell Bay Airport
TGE,32.49,-85.78,Sharpe Field
ALZ,56.90,-154.25,Alitak Seaplane Base
AQY,60.97,-149.13,Girdwood Airport
ARX,40.22,-74.09,Asbury Park Neptune Air Terminal
AYZ,40.71,-73.40,Zahn's Airport
HAE,36.19,-113.09,Lava Falls Heliport
BKG,36.53,-93.20,Branson Airport
BCJ,37.96,-105.78,Baca Grande Airfield
ILL,45.12,-95.13,Willmar Municipal -John L Rice Field
BNF,57.09,-134.83,Baranof Warm Springs Float and Seaplane Base
BOF,38.84,-77.02,Bolling Air Force Base
BOK,42.07,-124.29,Brookings Airport
BQV,58.46,-135.88,Bartlett Cove Seaplane Base
BRG,37.22,-82.87,Whitesburg Municipal Airport
BYA,64.08,-141.11,Boundary Airport
BZS,38.86,-77.01,Buzzards Point Seaplane Base
CGA,55.48,-133.15,Craig Seaplane Base
CHP,65.49,-144.61,Circle Hot Springs Airport
CIV,55.22,-132.21,Chomley Seaplane Base
CKD,61.87,-158.13,Crooked Creek Airport
CKR,48.60,-123.00,Crane Island Airstrip
CKU,60.54,-145.73,Cordova Municipal Airport
CKX,64.07,-141.95,Chicken Airport
CLC,29.56,-95.14,Clear Lake Metroport
CLG,36.16,-120.36,Coalinga Airport
EHT,41.75,-72.63,Rentschler Heliport
HLI,36.89,-121.41,Hollister Municipal Airport
CVR,33.98,-118.42,Hughes Airport
CXC,61.58,-144.43,Chitina Airport
CYM,57.51,-134.95,Chatham Seaplane Base
CZK,45.68,-121.88,Cascade Locks State Airport
CZN,62.07,-142.05,Chisana Airport
CZO,62.56,-144.67,Chistochina Airport
IUA,42.91,-77.33,Canandaigua Airport
DJN,64.05,-145.72,Delta Junction Airport
DCK,66.94,-156.90,Dahl Creek Airport
DCR,40.84,-84.86,Decatur HI-Way Airfield
DHB,48.62,-123.00,Deer Harbor SPB
DPK,40.76,-73.31,Deer Park Airport
DWS,28.40,-81.57,Lake Buena Vista STOLport
EDA,55.95,-133.66,Edna Bay Seaplane Base
ESP,41.06,-75.25,Birchwood-Pocono Airport
EXI,58.42,-135.45,Excursion Inlet Seaplane Base
RGR,32.45,-98.68,Ranger Municipal Airport
FAL,26.59,-99.14,Falcon State Airport
FLE,37.28,-77.34,Fort Lee Army Airfield
FLT,62.45,-157.99,Flat Airport
FSN,42.22,-87.82,Haley Army Airfield
GAB,38.92,-117.96,Gabbs Airport
GFD,39.79,-85.74,Pope Field
GNU,59.12,-161.58,Goodnews Airport
GMT,65.40,-161.28,Granite Mountain Air Station
GVE,38.16,-78.17,Gordonsville Municipal Airport
HAY,65.20,-161.16,Haycock Airport
HEY,31.35,-85.65,Hanchey Army (Fort Rucker) Heliport
HGT,35.99,-121.24,Tusi AHP (Hunter Liggett) Heliport
HPV,22.21,-159.45,Princeville Airport
WKL,19.92,-155.86,Waikoloa Heliport
HKB,64.00,-144.69,Healy Lake Airport
HYL,55.48,-132.65,Hollis Clark Bay Seaplane Base
IVH,69.41,-148.29,Ivishak Airport
JLA,60.48,-149.72,Quartz Creek Airport
JPB,40.75,-73.98,Pan Am Building Heliport
JPN,38.87,-77.06,Pentagon Army Heliport
JRA,40.75,-74.01,West 30th St. Heliport
JRB,40.70,-74.01,Downtown-Manhattan/Wall St Heliport
AMK,37.20,-107.87,Animas Air Park
BDX,45.47,-105.45,Broadus Airport
EUE,39.60,-116.00,Eureka Airport
KPT,41.98,-114.66,Jackpot Airport/Hayden Field
RLA,37.94,-91.81,Rolla Downtown Airport
FID,41.25,-72.03,Elizabeth Field
HUD,42.74,-94.25,Humboldt Municipal Airport
TWD,48.05,-122.81,Jefferson County International Airport
MVM,36.72,-110.23,Kayenta Airport
HCC,42.29,-73.71,Columbia County Airport
AHD,34.15,-97.12,Ardmore Downtown Executive Airport
GCW,35.99,-113.82,Grand Canyon West Airport
CKE,38.99,-122.90,Lampson Field
ROF,41.73,-122.55,Montague-Yreka Rohrer Field
CNE,38.43,-105.11,Fremont County Airport
RSX,44.99,-73.36,Rouses Point Seaplane Base
COP,42.63,-74.89,Cooperstown-Westville Airport
CIL,64.90,-163.70,Council Airport
IRB,30.91,-101.89,Iraan Municipal Airport
GNF,39.94,-120.95,Gansner Field
CHZ,42.58,-121.88,Chiloquin State Airport
LTW,38.32,-76.55,St. Mary's County Regional Airport
AHF,40.34,-99.91,Arapahoe Municipal Airport
PCT,40.40,-74.66,Princeton Airport
CTO,40.92,-72.79,Calverton Executive Airpark
NRI,36.58,-94.86,Grand Lake Regional Airport
GTP,42.51,-123.39,Grants Pass Airport
NLE,41.84,-86.23,Jerry Tyler Memorial Airport
GCD,47.92,-119.08,Grand Coulee Dam Airport
VLE,35.65,-112.15,Valle Airport
FPY,30.07,-83.58,Perry-Foley Airport
NTJ,39.33,-111.61,Manti-Ephraim Airport
MSD,39.53,-111.48,Mount Pleasant Airport
SBO,39.03,-111.84,Salina Gunnison Airport
JVI,40.52,-74.60,Central Jersey Regional Airport
UCE,30.47,-92.42,Eunice Airport
GOL,42.41,-124.42,Gold Beach Municipal Airport
KKT,40.76,-87.43,Kentland Municipal Airport
PRW,45.54,-90.28,Prentice Airport
EGP,28.86,-100.51,Maverick County Memorial International Airport
BLD,35.95,-114.86,Boulder City Municipal Airport
MFH,36.83,-114.06,Mesquite Airport
ECA,44.31,-83.42,Iosco County Airport
FMU,43.98,-124.11,Florence Municipal Airport
OTS,48.50,-122.66,Anacortes Airport
ROL,40.28,-110.05,Roosevelt Municipal Airport
CTK,43.31,-96.57,Canton Municipal Airport
WPO,38.83,-107.65,North Fork Valley Airport
ATE,34.19,-95.65,Antlers Municipal Airport
QWG,35.21,-80.67,Wilgrove Air Park
ASQ,39.47,-117.20,Austin Airport
AAF,29.73,-85.03,Apalachicola Regional Airport
ABE,40.65,-75.44,Lehigh Valley International Airport
ABI,32.41,-99.68,Abilene Regional Airport
ABQ,35.04,-106.61,Albuquerque International Sunport
ABR,45.45,-98.42,Aberdeen Regional Airport
ABY,31.54,-84.19,Southwest Georgia Regional Airport
ACB,44.99,-85.20,Antrim County Airport
ACK,41.25,-70.06,Nantucket Memorial Airport
ACT,31.61,-97.23,Waco Regional Airport
ACV,40.98,-124.11,California Redwood Coast-Humboldt County Airport
ACY,39.46,-74.58,Atlantic City International Airport
ADG,41.87,-84.08,Lenawee County Airport
ADT,34.80,-96.67,Ada Regional Airport
ADM,34.30,-97.02,Ardmore Municipal Airport
ADS,32.97,-96.84,Addison Airport
ADW,38.81,-76.87,Joint Base Andrews
KAE,56.97,-133.95,Kake Seaplane Base
AEL,43.68,-93.37,Albert Lea Municipal Airport
AEX,31.33,-92.55,Alexandria International Airport
AFF,38.97,-104.81,USAF Academy Airfield
WSG,40.14,-80.29,Washington County Airport
AFN,42.81,-72.00,Jaffrey Airport Silver Ranch Airport
AFO,42.71,-110.94,Afton Municipal Airport
AFW,32.99,-97.32,Fort Worth Alliance Airport
AGC,40.35,-79.93,Allegheny County Airport
AGO,33.23,-93.22,Ralph C Weiser Field
AGS,33.37,-81.96,Augusta Regional At Bush Field
AHC,40.27,-120.15,Amedee Army Air Field
AHH,45.28,-92.38,Amery Municipal Airport
AHN,33.95,-83.33,Athens Ben Epps Airport
AIA,42.05,-102.80,Alliance Municipal Airport
AID,40.11,-85.61,Anderson Municipal Darlington Field
AIK,33.65,-81.68,Aiken Regional Airport
AIO,41.41,-95.05,Atlantic Municipal Airport
AIV,33.11,-88.20,George Downer Airport
AIY,39.36,-74.46,Atlantic City Municipal Bader Field
AIZ,38.10,-92.55,Lee C Fine Memorial Airport
AKO,40.18,-103.22,Colorado Plains Regional Airport
AKC,41.04,-81.47,Akron Fulton International Airport
ALB,42.75,-73.80,Albany International Airport
ALI,27.74,-98.03,Alice International Airport
ALM,32.84,-105.99,Alamogordo White Sands Regional Airport
ALN,38.89,-90.05,St Louis Regional Airport
ALO,42.56,-92.40,Waterloo Regional Airport
ALS,37.43,-105.87,San Luis Valley Regional Bergman Field
ALW,46.09,-118.29,Walla Walla Regional Airport
ALX,32.91,-85.96,Thomas C Russell Field
AMA,35.22,-101.71,Rick Husband Amarillo International Airport
AMN,43.32,-84.69,Gratiot Community Airport
AMW,41.99,-93.62,Ames Municipal Airport
ANB,33.59,-85.86,Anniston Regional Airport
AND,34.49,-82.71,Anderson Regional Airport
SLT,38.54,-106.05,Salida Airport Harriett Alexander Field
ANP,38.94,-76.57,Lee Airport
ANQ,41.64,-85.08,Tri State Steuben County Airport
ANW,42.58,-99.99,Ainsworth Regional Airport
ANY,37.16,-98.08,Anthony Municipal Airport
AOH,40.71,-84.03,Lima Allen County Airport
AOO,40.30,-78.32,Altoona Blair County Airport
APA,39.57,-104.85,Centennial Airport
APC,38.21,-122.28,Napa County Airport
APF,26.15,-81.78,Naples Municipal Airport
APG,39.47,-76.17,Phillips Army Air Field
APH,38.07,-77.32,A P Hill AAF (Fort A P Hill) Airport
APN,45.08,-83.56,Alpena County Regional Airport
APT,35.06,-85.59,Marion County Brown Field
APV,34.58,-117.19,Apple Valley Airport
ARA,30.04,-91.88,Acadiana Regional Airport
ARB,42.22,-83.75,Ann Arbor Municipal Airport
ARG,36.12,-90.93,Walnut Ridge Regional Airport
WHT,29.25,-96.15,Wharton Regional Airport
AUZ,41.77,-88.48,Aurora Municipal Airport
ART,43.99,-76.02,Watertown International Airport
ARV,45.93,-89.73,Lakeland-Noble F. Lee Memorial field
BFT,32.41,-80.63,Beaufort County Airport
ASE,39.22,-106.87,Aspen-Pitkin Co/Sardy Field
