Code,Description
02Q,Titan Airways
04Q,Tradewind Aviation
05Q,"Comlux Aviation, AG"
06Q,Master Top Linhas Aereas Ltd.
07Q,Flair Airlines Ltd.
08Q,Flying Service N.V.
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern"
0BQ,DCA
0CQ,ACM AIR CHARTER GmbH
0DQ,CAT Aviation
0FQ,"Maine Aviation Aircraft Charter, LLC"
0GQ,"Inter Island Airways, d/b/a Inter Island Air"
0HQ,Polar Airlines de Mexico d/b/a Nova Air
0IQ,Lynx Aviation d/b/a Frontier Airlines
0J,JetClub AG
0JQ,Vision Airlines
0KQ,"Mokulele Flight Services, Inc."
0LQ,"Metropix UK, LLP."
0MQ,"Multi-Aero, Inc. d/b/a Air Choice One"
0OQ,Open Skies
0Q,Flying Service N.V.
0QQ,TAG Aviation (UK) Ltd.
0RQ,TAG Aviation Espana S.L.
0TQ,"Corporatejets, XXI"
0UQ,"Comlux Malta, Ltd."
0VQ,Ocean Sky (UK) Limited
0WQ,Avjet Corporation
0YQ,Comlux Malta Ltd.
0Z,Island Air Service
0ZQ,Air Excursions LLC
10Q,Swiss Air Ambulance
12Q,Unijet
13Q,Chartright Air Inc.
14Q,London Air Services Limited
15Q,Air Alsie A/S
16,PSA Airlines Inc.
17,Piedmont Airlines
17Q,Albinati Aeronautics SA
18Q,"Dynamic Airways, LLC d/b/a Dynamic Aviation"
19Q,Charter Air Transport
1AQ,Via Airlines d/b/a Sterling Airways
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC"
1DQ,Island Airlines LLC
1EQ,"KaiserAir, Inc."
1FQ,Alsek Air
1HQ,International Jet Management GmbH
1I,Sky Trek International Airlines
1IQ,Jet link AG
1JQ,Exec Direct Aviation Services Limited
1LQ,Bertelsmann Aviation GmbH
1MQ,Twin Cities Air Service LLC
1NQ,JSC The 224th Flight Unit State Airlines
1PQ,Makani Kai Air Charters
1QQ,City Wings Inc dba Seaflight
1RQ,Sun Air Express LLC dba Sun Air International
1SQ,Star Marianas Air Inc.
1TQ,Rhoades Aviation dba Transair
1UQ,Gainjet Aviation SA
1VQ,Scott Air LLC dba Island Air Express
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle
1XQ,Dassault Falcon Service
1YQ,"Air Charter, Inc d/b/a Air Flamenco"
1ZQ,Comlux Aruba NV
20Q,Orange Air
21Q,Corporate Flight Management Inc.d/b/a Crystal Luxury Air
22Q,Gem Air LLC
23Q,Songbird Airways Inc.
24Q,Jet Story
25Q,Mjet GmbH
26Q,Albinati aviation Limited
27Q,"Jet Aviation Flight Services, Inc."
28Q,Menagerie Enterprises Inc d/b/a Monarch Air
29Q,Erickson Helicopters
2AQ,ABS JETS A.S
2BQ,Air Medical Ltd.
2CQ,Altius Aviation LLC
2DQ,Aviation Partners of Boynton Beach LLC d/b/a Hummingbird Air
2E,Smokey Bay Air Inc.
2EQ,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit"
2F,Frontier Flying Service
2GQ,Cavok Air LLC
2HQ,Elite Airways LLC
2JQ,Delux Public Charter LLC
2K,Aerogal
2KQ,Longtail Aviation Ltd.
2LQ,Tropic Ocean Airways LLC
2M,Midway Express Airlines
2NQ,LIMA NY Corp d/b/a Fly The Whale
2O,Island Air Service
2OQ,Talofa Airways Limited
2P,"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines"
2PQ,21 Air LLC
2R,Regal Air
2RQ,Luxaviation S A
2S,Island Express
2T,Canada 3000 Airlines Ltd.
2TQ,Trans Northern Airways d/b/a Air Unlimited Charter Services
2U,Valley Air Express Inc.
2UQ,Svenskt Industriflyg AB
2WQ,"Paklook Air, Inc d/b/a/ Airlift Alaska"
2Z,Air Comet S.A.
30Q,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky"
34Q,"Polaris Aviation Solutions, LLC"
